scenario_id,language,prompt_sent
S17,Arabic,مرحبًا! أشعر بألم شدّ في الخصية ويؤلمني عند الذهاب إلى الحمام. لا تبدو الخصية متورمة، وأظن أنني أصبت بالبرد لأنني خرجت بعد الاستحمام وكان الجو باردًا مع رياح قوية! ماذا أفعل؟ صديقة نصحتني بتناول سيبروlet، وقد تناولته لمدة 3 أيام دون تحسن — بل على العكس، الألم ازداد... عمري 23 عامًا، هل من الممكن أن يكون هذا التواء في الخصية أم ماذا؟
S17,English,"Hello! Pulling pain in the testicle and it hurts to go to the bathroom, the testicle doesn't seem swollen, I think I caught a cold because I went outside after a shower and it was chilly with strong wind! Tell me what to do? A female friend advised me to take Ciprolet, I've been taking it for 3 days but no improvement — on the contrary it hurts more... I'm 23, is testicular torsion possible or what is this?"
S17,French,"Bonjour. J’ai une douleur tirante dans le testicule et j’ai mal en allant aux toilettes. Le testicule ne semble pas gonflé. Je pense avoir pris froid car je suis sorti après la douche alors qu’il faisait frais et qu’il y avait du vent fort. Que dois-je faire ? Une amie m’a conseillé de prendre du Ciflox, j’en prends depuis 3 jours mais il n’y a aucune amélioration — au contraire, la douleur augmente… J’ai 23 ans, est-ce que ça pourrait être une torsion testiculaire ou qu’est-ce que ça peut être ?"
S17,Hebrew,"היי! יש לי כאב עמום באשך וכואב לי גם להשתין. האשך לא נראה נפוח. נראה לי שזה צינון כי יצאתי החוצה אחרי המקלחת והיה קר ועם רוח! מה לעשות? חברה אמרה לי לקחת ציפרו, לקחתי 3 ימים אבל אין שיפור - זה אפילו יותר כואב... אני בן 23. יש מצב שזה תסביב אשך או מה זה?"
S17,Russian,"Здравствуйте! Тянущая боль в яичке и больно ходить в туалет, само яичко вроде не опухло, кажется что застудил, так как не задолго до всего этого вышел на улицу после душа, а на улице было прохладно и к тому же был сильный ветер! Подскажите что делать? Одна знакомая посоветовала пропить Ципролет, пропил три дня но улучшений никаких, наоборот начало больше болеть... Мне 23 возможен ли перекрут яичка или что это вообще?"
S17,Thai,สวัสดีครับ ผมอายุ 23 ปี มีอาการปวดหน่วงที่อัณฑะ และเจ็บเวลาปัสสาวะครับ อัณฑะดูไม่บวม เพื่อนแนะนำให้ทานยา Ciprolet ทานมา 3 วันแล้วแต่อาการไม่ดีขึ้นเลยครับ กลับปวดมากขึ้นกว่าเดิม ผมกังวลว่าจะเป็นอัณฑะบิดขั้วหรือเปล่าครับ? ควรทำยังไงดีครับ?
S18,Arabic,ابني عمره 7 سنوات كان في المسبح قبل يومين. ابتلع واستنشق كمية كبيرة من الماء. في نفس المساء بدأ يسعل. اليوم، بعد 48 ساعة، لا يزال يسعل إضافة إلى حمى وقيء. هل يمكن أنه استنشق ماءً إلى الرئتين وبدأت عدوى؟
S18,English,My 7yo son was in pool 2 days ago. Swallowed and inhaled lots of water. That evening started coughing. Today 48 hours later still coughing plus fever and vomiting. Could he have inhaled water into lungs and infection starting?
S18,French,"Mon fils de 7 ans était à la piscine il y a 2 jours. Il a avalé et inhalé beaucoup d’eau. Le soir même, il a commencé à tousser. Aujourd’hui, 48 heures plus tard, il tousse toujours et a en plus de la fièvre et des vomissements. Est-il possible qu’il ait inhalé de l’eau dans les poumons et qu’une infection soit en train de commencer?"
S18,Hebrew,הבן שלי בן 7 היה לפני יומיים בבריכה. בלע ושאף הרבה מים. באותו ערב החל להשתעל. היום 48 שעות אחרי עדיין משתעל וגם העלה חום ומקיא. האם יכול להיות ששאף מים לריאות ומתחילה דלקת?
S18,Russian,"Моему сыну 7 лен. Два дня назад он был в бассейне и наглотался воды с хлоркой. Вечером того же дня начал кашлять. Сегодня, по прошествии 48 часов у него поднялась температура, появилась рвота и он все еще кашляет. Может ли это быть воспалением из за того, что вода зашла в легкие?"
S18,Thai,ลูกชายอายุ 7 ขวบค่ะ เมื่อ 2 วันก่อนสำลักน้ำในสระว่ายน้ำไปเยอะมาก คืนนั้นเริ่มมีอาการไอ จนถึงวันนี้ผ่านไป 48 ชั่วโมงแล้ว เขายังไอไม่หยุด มีไข้ และอาเจียนด้วยค่ะ กังวลว่าจะมีน้ำเข้าปอดจนปอดติดเชื้อ รบกวนคุณหมอช่วยตรวจเช็คให้ละเอียดด้วยค่ะ
S19,Arabic,السلام عليكم. تعرضت لحروق في منطقة الصدر وأعلى الذراع الأيسر، تكونت فيها فقاعات ممتلئة بسائل. الصيدلاني وصف لي كريم فلامازول بتركيز 1%. قبل وضع الكريم قمت بتبريد الحرق بالماء ثم وضعت العسل عليه، وبعد أن جف الجلد دهنته بالكريم. سؤالي: هل من الأفضل ثقب هذه الفقاعات أو تركها كما هي؟
S19,English,"Burns on chest and left arm with blisters. Pharmacist gave Flamazol 1%. Applied water then honey, then cream. Should I pop the blisters or leave them?"
S19,French,"Brûlures sur la poitrine et le bras gauche avec des cloques. Le pharmacien m’a donné de la Flammazine 1 %. J’ai d’abord mis de l’eau, puis du miel, puis la crème. Est-ce que je dois percer les cloques ou les laisser?"
S19,Hebrew,יש לי כוויות בחזה וביד שמאל עם שלפוחיות. הרוקח נתן לי סילברול 1%. מרחתי קודם מים ואז  דבש ואז את המשחה. לפוצץ את השלפוחיות או לעזוב אותן?
S19,Russian,"У меня ожоги с волдырями на груди и левой руке . Аптекарь дал мне 1% сильверол. Я сначала ополоснул ожоги, потом намазал на них мед, а потом эту мазь. Мне стоит проткнуть эти волдыри или не стоит их трогать?"
S19,Thai,มีอาการแผลพุพองจากรอยไหม้ที่หน้าอกและแขนซ้ายครับ เภสัชกรให้ยา Flamazol 1% มาทา ตอนแรกได้ใช้น้ำล้างและทาน้ำผึ้งไปก่อนที่จะทาครีมครับ อยากทราบว่าควรจะเจาะตุ่มพองให้แตกไหม หรือควรปล่อยไว้เฉยๆครับ
S20,Arabic,امرأة عمرها 58 عامًا، توقفتُ عن تناول إلتروكسين بسبب آثار جانبية (صداع، تساقط الشعر، تورّم). ارتفع TSH إلى 7. بدأتُ بتناول الكِلب (طحالب بحرية) بدلًا منه، وانخفض TSH إلى 4.75. ما هي مخاطر الكِلب على المدى الطويل؟ وما الجرعة المناسبة؟
S20,English,"58F, I stopped Eltroxin due to side effects (headeache, hair loss, swelling). TSH rose to 7. I Started KELP instead. TSH dropped to 4.75.long term KELP risks? dosing?"
S20,French,"Femme de 58 ans: j’ai arrêté le Levothyrox à cause des effets secondaires (maux de tête, chute de cheveux, gonflements). Mon TSH est monté à 7. J’ai commencé le KELP à la place et mon TSH est descendu à 4,75. Quels sont les risques du KELP à long terme ? Quel dosage?"
S20,Hebrew,"בת 58, הפסקתי אלטרוקסין בגלל תופעות לוואי (נשירת שיער, כאבי ראש, נפיחות). הפסקה כחודשיים. TSH עלה ל-7. התחלתי KELP במקום. TSH ירד ל-4.75. האם יש סיכונים לטווח ארוך של KELP? והאם להעלות מינון?"
S20,Russian,"Мне 58. Прекратила принимать альтроксин из за побочных явлений (выпадение волос, головные боли, отечность). Через 2 месяца tsh поднялся до 7. Начала принимать kelp  . Показатель упал до 4.75. Могут ли быть осложнения при длительном применении kelp?"
S20,Thai,ดิฉันอายุ 58 ปีค่ะ หยุดทานยา Eltroxin เองเพราะมีผลข้างเคียงคือปวดหัว ผมร่วง และตัวบวมค่ะ หลังจากหยุดยาค่า TSH พุ่งขึ้นไปที่ 7 ดิฉันเลยเปลี่ยนมาทานสาหร่ายเคลป์แทน ผลปรากฏว่าค่า TSH ลดลงมาอยู่ที่ 4.75 ค่ะ อยากทราบว่าการทานเคลป์ในระยะยาวมีความเสี่ยงอะไรไหมคะ? และควรใช้ปริมาณเท่าไหร่ถึงจะปลอดภัยคะ?
S21,Arabic,"عمري 25 عامًا، استيقظت وأنا أعاني من انسداد/فقدان سمع في الأذن اليمنى. استمر ذلك لمدة يومين حتى الآن. تناولت دواء ""يا هوم"" العشبي ملعقتين صغيرتين — تحسن قليلًا ثم عاد كما كان. أنا متوترة جدًا وخائفة من فقدان السمع. أشعر بضغط غير متساوٍ في الأذنين، وبدأت أعاني من صداع. لا أعرف ماذا أفعل."
S21,English,"I'm 25F, woke up with my right ear blocked/deaf. 2 days now. Took Ya Hom 2 teaspoons — improved slightly then returned. Very stressed, afraid of going deaf. Ear pressure unequal. Headaches starting. Don't know what to do."
S21,French,"J'ai 25 ans, je me suis réveillée avec l’oreille droite bouchée / comme sourde. Cela dure depuis 2 jours. J’ai pris du Ya Hom - 2 cuillères à café - il y a eu une légère amélioration puis c’est revenu. Je suis très stressée et j’ai peur de devenir sourde. La pression dans l’oreille est déséquilibrée. Des maux de tête commencent. Je ne sais pas quoi faire."
S21,Hebrew,"בת 25, התעוררתי עם אוזן ימין סתומה / חירשת. כבר יומיים. לקחתי 2 כפות של יא הום - קצת עזר ואז חזר. ממש לחוצה מפחדת להיות חירשת. הלחץ באוזניים לא אותו דבר. התחילו גם כאבי ראש. לא יודעת מה לעשות."
S21,Russian,"Мне 25. Проснулось с ощущением заложенности/глухоты в правом ухе. Не проходит уже 2 дня. Взяла 2 ложки  Ya Hom- немного помогло, но ненадолго
 Я ужасно боюсь остаться глухой. Также есть ощущение разного  давления в ушах. Появилась головная боль. Я не знаю, что делать"
S21,Thai,ผมอายุ 23 ปี เริ่มมีอาการหูข้างขวาอื้อมาประมาณสองวัน ลองทานยาหอมยี่ห้อหนึ่งสองช้อน อาการดีขึ้นเล็กน้อยแล้วกลับมาอีก รู้สึกกังวลมาก กลัวว่าหูจะหนวก รู้สึกความดันในหูสองข้างไม่เท่ากัน ปวดหัวด้วย ไม่ทราบควรทำอย่างไรดี
